DropReason,#,Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Simple Family Members,Simple Family Member Jurisdictions,Extended Family Size,Extended Family Members,Extended Family Member Jurisdictions,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status,Year,Year_num,Abstract_clean
empty_abstract,326,US,A,US 3700595 A,150-500-440-648-813,1972-10-24,1972,US 3700595D A,1970-06-15,US 4655670 A,1970-06-15,FERROFLUID COMPOSITION,,AVCO CORP,KAISER ROBERT,,https://lens.org/150-500-440-648-813,Granted Patent,no,0,43,1,150-500-440-648-813,US,13,075-499-275-011-718;;071-377-920-599-93X;;137-486-167-439-287;;137-473-607-756-292;;168-902-055-509-505;;052-465-588-587-734;;030-447-114-772-527;;014-575-705-330-25X;;150-500-440-648-813;;041-313-302-045-824;;161-115-878-004-391;;116-771-567-601-408;;177-257-552-697-17X,GB;;DE;;US;;FR;;CA,0,B03C1/01;;H01F1/44;;B03C1/01;;H01F1/44,B03C1/01;;H01F1/44,252/62.56,0,0,,,,EXPIRED,1972,1972,
empty_abstract,425,US,A,US 3538469 A,022-166-571-911-421,1970-11-03,1970,US 3538469D A,1967-09-22,US 66995267 A,1967-09-22,VISCOUS DAMPER USING MAGNETIC FERROFLUID,,AVCO CORP,LITTE RUDOLPH;;BELTRACCHI LEO,,https://lens.org/022-166-571-911-421,Granted Patent,no,5,37,1,022-166-571-911-421,US,1,022-166-571-911-421,US,0,F16D37/02;;F16D2037/005;;F16F9/535;;F16F15/16;;F16D37/02;;F16D2037/005;;F16F9/535;;F16F15/16,F16D37/02;;F16F9/53;;F16F15/16,335/219,0,0,,,,EXPIRED,1970,1970,
empty_abstract,455,US,A,US 3531413 A,063-314-304-409-073,1970-09-29,1970,US 3531413D A,1967-09-22,US 66993867 A,1967-09-22,METHOD OF SUBSTITUTING ONE FERROFLUID SOLVENT FOR ANOTHER,,AVCO CORP,ROSENSWEIG RONALD E,,https://lens.org/063-314-304-409-073,Granted Patent,no,3,56,1,063-314-304-409-073,US,1,063-314-304-409-073,US,0,H01F1/44;;B03D1/008;;B03D1/016;;B03D2201/002;;H01F1/44;;B03D1/008;;B03D1/016;;B03D2201/002,B03D1/001;;H01F1/44,252/62.62,0,0,,,,EXPIRED,1970,1970,
empty_abstract,359,US,S,US D1044765 S,023-553-012-666-93X,2024-10-01,2024,US 202329874020 F,2023-04-12,CN 202330026708 F,2023-01-16,Ferrofluid speaker,,ZHANG CHUNJIE;;XU YUNQIN,ZHANG CHUNJIE;;XU YUNQIN,,https://lens.org/023-553-012-666-93X,Design Right,no,16,4,1,023-553-012-666-93X,US,1,023-553-012-666-93X,US,0,,,1401;;D14/204,0,0,,,,ACTIVE,2024,2024,
