Primary Major Class,Secondary Major Class,Primary Major Score,Secondary Major Score,margin_12
2,3,0.22499512135982513,0.2249900847673416,5.036592483520508e-06
2,3,0.22499531507492065,0.22499027848243713,5.036592483520508e-06
2,1,0.28593769669532776,0.2859257757663727,1.1920928955078125e-05
5,4,0.21394716203212738,0.21392720937728882,1.9952654838562012e-05
4,5,0.20160098373889923,0.20157542824745178,2.555549144744873e-05
4,5,0.20160101354122162,0.20157527923583984,2.5734305381774902e-05
1,3,0.24197010695934296,0.2417629361152649,0.00020717084407806396
2,3,0.22286735475063324,0.2225985825061798,0.0002687722444534302
2,3,0.22286735475063324,0.2225985825061798,0.0002687722444534302
3,5,0.20423513650894165,0.2039114236831665,0.0003237128257751465
3,5,0.20423513650894165,0.2039114236831665,0.0003237128257751465
2,3,0.23979975283145905,0.23936383426189423,0.00043591856956481934
2,3,0.23980054259300232,0.2393634170293808,0.000437125563621521
5,3,0.21787454187870026,0.2173367440700531,0.0005377978086471558
5,3,0.21787454187870026,0.2173367440700531,0.0005377978086471558
2,3,0.22247982025146484,0.22186420857906342,0.0006156116724014282
2,3,0.22247982025146484,0.22186420857906342,0.0006156116724014282
2,5,0.21066904067993164,0.20996099710464478,0.0007080435752868652
2,5,0.21066904067993164,0.20996099710464478,0.0007080435752868652
2,5,0.21066904067993164,0.20996099710464478,0.0007080435752868652
2,5,0.21066904067993164,0.20996099710464478,0.0007080435752868652
1,2,0.2180950790643692,0.21728713810443878,0.0008079409599304199
3,4,0.20806799829006195,0.2072570025920868,0.0008109956979751587
3,4,0.20806799829006195,0.2072570025920868,0.0008109956979751587
5,3,0.20297135412693024,0.20213022828102112,0.0008411258459091187
